"trial_id","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","slider_start","itemA","itemB","categoryA","categoryB","correct","feedback","age","ethnicity","gender","race"
"consent","3079","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","html-button-response","0","2.0.0","3097","pilot_anxvs9jox4","","","","","","","","","","","","","",""
"","9400","","","instructions","1","2.0.0","12751","pilot_anxvs9jox4","","","[{""page_index"":0,""viewing_time"":9400}]","","","","","","","","","","",""
"practice_round","6099","<p style=""font-size: 32px;"">First, Sarah <strong>feels safe</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>feels nauseated</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling safe</strong> made her <strong>feel nauseated</strong>?</span></p>","24","html-slider-response","2","2.0.0","19110","pilot_anxvs9jox4","","","","50","","","","","","","","","",""
"practice_feedback","1215","","","instructions","3","2.0.0","20582","pilot_anxvs9jox4","","","[{""page_index"":0,""viewing_time"":1215}]","","","","","","","","","","",""
"causal_trial_1","5236","<p style=""font-size: 32px;"">First, Sarah <strong>heard something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>hearing something</strong> made her <strong>feel hungry</strong>?</span></p>","63","html-slider-response","4","2.0.0","26085","pilot_anxvs9jox4","","","","50","hear something","feel hungry","cognitive","physiological","","","","","",""
"causal_trial_2","3819","<p style=""font-size: 32px;"">First, Sarah <strong>felt pain</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>reached for something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling pain</strong> made her <strong>reach for something</strong>?</span></p>","76","html-slider-response","5","2.0.0","30172","pilot_anxvs9jox4","","","","50","feel pain","reach for something","physiological","physical","","","","","",""
"causal_trial_3","4564","<p style=""font-size: 32px;"">First, Sarah <strong>reached for something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>reaching for something</strong> made her <strong>feel sick</strong>?</span></p>","25","html-slider-response","6","2.0.0","34996","pilot_anxvs9jox4","","","","50","reach for something","feel sick","physical","physiological","","","","","",""
"causal_trial_4","6963","<p style=""font-size: 32px;"">First, Sarah <strong>reached for something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>heard something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>reaching for something</strong> made her <strong>hear something</strong>?</span></p>","0","html-slider-response","7","2.0.0","42212","pilot_anxvs9jox4","","","","50","reach for something","hear something","physical","cognitive","","","","","",""
"causal_trial_5","25207","<p style=""font-size: 32px;"">First, Sarah <strong>jumped up and down</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>thought about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>jumping up and down</strong> made her <strong>think about something</strong>?</span></p>","75","html-slider-response","8","2.0.0","67679","pilot_anxvs9jox4","","","","50","jump up and down","think about something","physical","cognitive","","","","","",""
"causal_trial_6","2882","<p style=""font-size: 32px;"">First, Sarah <strong>remembered something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt scared</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>remembering something</strong> made her <strong>feel scared</strong>?</span></p>","95","html-slider-response","9","2.0.0","70816","pilot_anxvs9jox4","","","","50","remember something","feel scared","cognitive","physiological","","","","","",""
