"trial_id","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","slider_start","itemA","itemB","categoryA","categoryB","correct","feedback","age","ethnicity","gender","race"
"consent","4505","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","html-button-response","0","2.0.0","4515","pilot_2w19ksqx74","","","","","","","","","","","","","",""
"","4117","","","instructions","1","2.0.0","8890","pilot_2w19ksqx74","","","[{""page_index"":0,""viewing_time"":4117}]","","","","","","","","","","",""
"practice_round","43662","<p style=""font-size: 32px;"">First, Sarah <strong>feels safe</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>feels nauseated</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling safe</strong> made her <strong>feel nauseated</strong>?</span></p>","74","html-slider-response","2","2.0.0","52810","pilot_2w19ksqx74","","","","50","","","","","","","","","",""
"practice_feedback","1939","","","instructions","3","2.0.0","55003","pilot_2w19ksqx74","","","[{""page_index"":0,""viewing_time"":1939}]","","","","","","","","","","",""
"causal_trial_1","6897","<p style=""font-size: 32px;"">First, Sarah <strong>felt tired</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>remembered something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling tired</strong> made her <strong>remember something</strong>?</span></p>","78","html-slider-response","4","2.0.0","62159","pilot_2w19ksqx74","","","","50","feel tired","remember something","physiological","cognitive","","","","","",""
"causal_trial_2","26109","<p style=""font-size: 32px;"">First, Sarah <strong>felt pain</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>jumped up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling pain</strong> made her <strong>jump up and down</strong>?</span></p>","25","html-slider-response","5","2.0.0","88533","pilot_2w19ksqx74","","","","50","feel pain","jump up and down","physiological","physical","","","","","",""
"causal_trial_3","4350","<p style=""font-size: 32px;"">First, Sarah <strong>thought about something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>thinking about something</strong> made her <strong>feel sick</strong>?</span></p>","78","html-slider-response","6","2.0.0","93141","pilot_2w19ksqx74","","","","50","think about something","feel sick","cognitive","physiological","","","","","",""
"causal_trial_4","11835","<p style=""font-size: 32px;"">First, Sarah <strong>took a walk</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>heard something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>taking a walk</strong> made her <strong>hear something</strong>?</span></p>","68","html-slider-response","7","2.0.0","105233","pilot_2w19ksqx74","","","","50","take a walk","hear something","physical","cognitive","","","","","",""
"causal_trial_5","8079","<p style=""font-size: 32px;"">First, Sarah <strong>felt tired</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt scared</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling tired</strong> made her <strong>feel scared</strong>?</span></p>","60","html-slider-response","8","2.0.0","113565","pilot_2w19ksqx74","","","","50","feel tired","feel scared","physiological","physiological","","","","","",""
"causal_trial_6","17583","<p style=""font-size: 32px;"">First, Sarah <strong>took a walk</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>chose what to do</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>taking a walk</strong> made her <strong>choose what to do</strong>?</span></p>","92","html-slider-response","9","2.0.0","131410","pilot_2w19ksqx74","","","","50","take a walk","choose what to do","physical","cognitive","","","","","",""
